film_title,release_year,genres_raw,combined_tags,description,movieID,tsne_x,tsne_y
McHale's Navy,1997,"Comedy, War",,"Retired Lieutenant Commander Quinton McHale spends his days puttering around the Caribbean in the old PT-73 selling homebrew, ice cream, and swimsuit calendars. He's brought out of retirement when his old nemesis turned the second best terrorist in the world, Major Vladikov, takes over the island of San Moreno and starts building a nuclear launch silo on it. With help from his old crew and hindrances from Captain Wallace B. Binghampton, who sank a cruise liner a while back, McHale tries to put Vladikov out of business.",M_1445,-2.2915502,12.003159
Kolya (Kolja),1996,"Comedy, Drama",In Netflix queue,"After a fictitious marriage with a Russian emigrant, Cellisten Louka, a Czech man, must suddenly take responsibility for her son. However, it’s not long before the communication barrier is broken between the two new family members.",M_1446,-12.898312,-11.306698
Gridlock'd,1997,Crime,,"After a friend overdoses, Spoon and Stretch decide to kick their drug habits and attempt to enroll in a government detox program. Their efforts are hampered by seemingly endless red tape, as they are shuffled from one office to another while being chased by drug dealers and the police.",M_1447,23.440948,-53.328796
Waiting for Guffman,1996,Comedy,mockumentary,Aspiring director Corky St. Clair and the marginally talented amateur cast of his hokey small-town musical production go overboard when they learn that Broadway theater agent Mort Guffman will be in attendance.,M_1449,-27.354433,38.523987
"Beautician and the Beast, The",1997,"Comedy, Romance",,A New York City beautician is mistakenly hired as the school teacher for the children of the president of a small Eastern European country.,M_1453,-41.145695,15.111652
SubUrbia,1997,"Comedy, Drama",,A group of suburban teenagers try to support each other through the difficult task of becoming adults.,M_1454,-9.722016,5.383126
"Pest, The",1997,Comedy,,"Fast-talking Latino con artist Pestario ""Pest"" Vargas is the target of Scottish mobsters to whom he owes a considerable debt. Willing to do anything to raise money and avoid severe injury or death, Vargas agrees to a very unusual job -- he will be transported to a remote island and hunted by Gustav Shank, a racist German executive. If he can survive a full day and night, Vargas gets $50,000 and will be set free. Is he wily enough to elude Shank?",M_1456,4.3128424,-53.23062
Fools Rush In,1997,"Comedy, Drama, Romance",,"After a one night stand with Alex, Isabel realizes that she is pregnant and they decide to get married. However, along with the marriage comes compromise of one's own cultural traditions.",M_1457,-44.711006,-11.490107
Touch,1997,"Drama, Fantasy, Romance",,"Down-and-out former preacher Bill Hill witnesses stranger Juvenal save a woman from her abusive husband by defusing the latter's anger — and ending his wife's blindness. Determined to profit from Juvenal's mystical powers, Bill asks an old friend, Lynn Faulkner, to sneak into the Alcoholics Anonymous facility where Juvenal works as a counselor, but she finds herself falling for the healer.",M_1458,-33.508366,-10.488786
Absolute Power,1997,"Mystery, Thriller",,"A master thief coincidentally is robbing a house where a murder—in which the President of The United States is involved—occurs in front of his eyes. He is forced to run, while holding evidence that could convict the President.",M_1459,25.51617,-44.58988
That Darn Cat,1997,"Children, Comedy, Mystery",,"While making his nightly rounds in the neighborhood, Patti's pet cat D.C. finds himself the carrier of a call for help from a kidnap victim. Patti enlists skeptical law enforcement help to find the victim before it's too late.",M_1460,-6.000017,-41.963966
Vegas Vacation (National Lampoon's Las Vegas Vacation),1997,Comedy,,"The Griswold family hits the road again for a typically ill-fated vacation, this time to the glitzy mecca of slots and showgirls—Las Vegas.",M_1461,-15.274671,12.081771
Lost Highway,1997,"Crime, Drama, Fantasy, Film-Noir, Mystery, Romance",,"A tormented jazz musician finds himself lost in an enigmatic story involving murder, surveillance, gangsters, doppelgängers, and an impossible transformation inside a prison cell.",M_1464,15.576178,-30.73034
Rosewood,1997,"Action, Drama",,"Spurred by a white woman's lie, vigilantes destroy a black Florida town and slay inhabitants in 1923.",M_1465,22.246775,-8.618234
Donnie Brasco,1997,"Crime, Drama",Mafia,An FBI undercover agent infiltrates the mob and identifies more with the mafia life at the expense of his regular one.,M_1466,37.976814,-39.529842
Booty Call,1997,"Comedy, Romance",,"Rushon is sexually pent-up and ready to take thing things to the next level with his girlfriend, Nikki. But when he calls for a date, she asks to make it a double — bringing along her brash friend, Lysterine, whom Rushon sets up with his lewd buddy, Bunz. Things go better than expected. As the evening transitions from the restaurant to the bedroom, the two men go on a madcap search for what will surely make the night complete: condoms.",M_1468,-39.440567,0.9350796
Best Men,1997,"Action, Comedy, Crime, Drama",,"Four tuxedo clad men showing up at a penitentiary to meet a friend who has just been released after three years in prison and is going straight from the jail to marry his girlfriend. En route to the wedding, one of the men asks to stop by a bank to pick up some cash. As it turns out, he is a wanted bank robber who uses Shakespeare passages during his robberies and thus has become known as ""Hamlet"". Soon all five men are caught up in the bank and involved in the robbery as they end up in a hostage situation. The hostage negotiator shows up who turns out to be Hamlet's father.",M_1473,8.528673,-56.316116
Jungle2Jungle (a.k.a. Jungle 2 Jungle),1997,"Children, Comedy",jungle,"Uptight New York City executive, Michael Cromwell, pursues his soon-to-be ex-wife to South America and returns home with the son he never knew he had—a boy raised in a tribal village in Brazil. Armed with only his blowgun, the 13-year-old Mimi-Siku discovers that the world outside his jungle home is indeed a strange place.",M_1474,-24.037828,-31.083687
Kama Sutra: A Tale of Love,1996,Romance,,"Tara and Maya are two inseparable friends in India. Their tastes, habits, and hobbies are the same. Years later, the two have matured, but have maintained their friendship. Tara gets married to the local prince, Raj Singh, who soon succeeds the throne as the sole heir. After the marriage, Raj gets bored of Tara and starts seeking another female to satisfy his sexual needs. He notices Maya and is instantly attracted to her. He has her included as one of his courtesans, and is intimate with her. Watch what happens when Tara finds out and the extent she will go to keep her marriage intact.",M_1475,-47.17762,-12.856975
Private Parts,1997,"Comedy, Drama",,"The auto-biographical story of Howard Stern, the radio-rebel who is now also a TV-personality, an author and a movie star.",M_1476,-14.428298,42.099586
Love Jones,1997,Romance,,"Darius Lovehall is a young black poet in Chicago who starts dating Nina Moseley, a beautiful and talented photographer. While trying to figure out if they've got a ""love thing"" or are just ""kicking it,"" they hang out with their friends, talking about love and sex. Then Nina tests the strength of Darius' feelings and sets a chain of romantic complications into motion.",M_1477,-45.289856,-6.433761
"Saint, The",1997,"Action, Romance, Sci-Fi, Thriller",,"Simon Templar (The Saint), is a thief for hire, whose latest job to steal the secret process for cold fusion puts him at odds with a traitor bent on toppling the Russian government, as well as the woman who holds its secret.",M_1479,43.763054,-29.161158
Smilla's Sense of Snow,1997,"Drama, Thriller",,"Smilla Jaspersen, half Danish, half Greenlander, attempts to understand the death of a small boy who falls from the roof of her apartment building. Suspecting wrongdoing, Smilla uncovers a trail of clues leading towards a secretive corporation that has made several mysterious expeditions to Greenland. Scenes from the film were shot in Copenhagen and western Greenland. The film was entered into the 47th Berlin International Film Festival, where director Bille August was nominated for the Golden Bear.",M_1480,-3.2094548,44.76822
Crash,1996,"Drama, Thriller",,"After getting into a serious car accident, a TV director discovers an underground sub-culture of scarred, omnisexual car-crash victims who use car accidents and the raw sexual energy they produce to try to rejuvenate his sex life with his wife.",M_1483,-13.835391,4.7913103
"Daytrippers, The",1996,"Comedy, Drama, Mystery, Romance",,"Eliza D'Amico thinks her marriage to Louis is going great until she finds a mysterious love note to her husband. Concerned, she goes to her mother for advice. Eliza, her parents, her sister Jo, and Jo's boyfriend all pile into a station wagon to go to the city to confront Louis with the letter. On the way, the five explore their relations with each other and meet many interesting people.",M_1484,-43.546753,-10.302534
Liar Liar,1997,Comedy,lawyer,"Fletcher Reede is a fast-talking attorney and habitual liar. When his son Max blows out the candles on his fifth birthday he has just one wish - that his dad will stop lying for 24 hours. When Max's wish comes true, Fletcher discovers that his mouth has suddenly become his biggest liability.",M_1485,-15.928281,12.585855
Selena,1997,"Drama, Musical",,"In this biographical drama, Selena Quintanilla is born into a musical Mexican-American family in Texas. Her father, Abraham, realizes that his young daughter is talented and begins performing with her at small venues. She finds success and falls for her guitarist, Chris Perez, who draws the ire of her father. Seeking mainstream stardom, Selena begins recording an English-language album which, tragically, she would never complete.",M_1487,-27.090443,38.052097
"Devil's Own, The",1997,"Action, Drama, Thriller",,"Frankie McGuire, one of the IRA's deadliest assassins, draws an American family into the crossfire of terrorism. But when he is sent to the U.S. to buy weapons, Frankie is housed with the family of Tom O'Meara, a New York cop who knows nothing about Frankie's real identity. Their surprising friendship, and Tom's growing suspicions, forces Frankie to choose between the promise of peace or a lifetime of murder.",M_1488,-1.5409719,-39.996597
Cats Don't Dance,1997,"Animation, Children, Musical",,"Danny, an ambitious singing and dancing cat, goes to Hollywood and overcomes several obstacles to fulfill his dream of becoming a movie star.",M_1489,-31.376635,27.911478
B*A*P*S,1997,Comedy,,"Two clueless homegirls move to L.A. to become dancers, but instead find themselves scamming a dying millionaire to eventually become B*A*P*S (Black American Princesses).",M_1490,-18.586458,4.6590075
Love and Other Catastrophes,1996,Romance,,A day in the life of two film school students trying to find love and another housemate.,M_1493,-50.061993,15.868484
Turbo: A Power Rangers Movie,1997,"Action, Adventure, Children",,"The legendary Power Rangers must stop the evil space pirate Divatox from releasing the powerful Maligore from his volcanic imprisonment on the island of Muranthias, where only the kindly wizard Lerigot has the key to release him. The hope of victory lies in the Ranger's incredible new Turbo powers and powerful Turbo Zords.",M_1495,46.9567,19.433231
Anna Karenina,1997,"Drama, Romance",Tolstoy,"Anna Karenina, the wife of a Russian imperial minister, creates a high-society scandal by an affair with Count Vronsky, a dashing cavalry officer in 19th-century St. Petersburg.",M_1496,-1.087145,31.455824
Double Team,1997,Action,,"A CIA agent is interned for failing to kill an international terrorist. Escaping from his island exile, he teams up with a flamboyant arms dealer and sets out to find the terrorist and rescue the agent's family. Together they're a two-man arsenal... with enough voltage to rock the free world.",M_1497,41.334576,-34.202076
Inventing the Abbotts,1997,"Drama, Romance",,"In the 1950s, brothers Jacey and Doug Holt, who come from the poorer side of their sleepy Midwestern town, vie for the affections of the wealthy, lovely Abbott sisters. Lady-killer Jacey alternates between Eleanor and Alice, wanting simply to break the hearts of rich young women. But sensitive Doug has a real romance with Pamela, which Jacey and the Abbott patriarch, Lloyd, both frown upon.",M_1498,-28.738312,-3.977305
Anaconda,1997,"Action, Adventure, Thriller",,"A ""National Geographic"" film crew is taken hostage by an insane hunter, who takes them along on his quest to capture the world's largest - and deadliest - snake.",M_1499,45.33958,-23.325325
Grosse Pointe Blank,1997,"Comedy, Crime, Romance",hit men reunion,"Martin Blank is a hitman for hire. When he starts to develop a conscience, he botches a couple of routine jobs. On the advice of his secretary and his psychiatrist, he decides to attend his ten-year high school reunion in Grosse Pointe, Michigan.",M_1500,-57.578777,11.129355
Kissed,1996,"Drama, Romance",,"Over the years, a child's romantic ideals about death blossom into necrophilia, the study of embalming and the most profound relationship of her life.",M_1502,-18.271467,1.8948375
8 Heads in a Duffel Bag,1997,Comedy,,"Mafia hitman Tommy Spinelli is flying to San Diego with a bag that holds eight severed heads, which he's bringing to his superiors to prove that some troublesome rival mobsters are permanently out of the picture. When his bag gets accidentally switched at the airport, Tommy must track down his duffel bag and the 8 heads it contains.",M_1503,11.518414,-55.601204
Paradise Road,1997,"Drama, War",,"A group of English, American, Dutch and Australian women creates a vocal orchestra while being imprisoned in a Japanese POW camp on Sumatra during World War II.",M_1507,28.370813,48.632698
Romy and Michele's High School Reunion,1997,Comedy,reunion,"Two not-too-bright party girls reinvent themselves for their high school reunion. Armed with a borrowed Jaguar, new clothes and the story of their success as the inventors of Post-It notes, Romy and Michele descend on their alma mater, but their façade crumbles quickly.",M_1513,-49.856228,15.427742
Temptress Moon (Feng Yue),1996,Romance,,"Set in the decadent 1920s, Temptress Moon tells the very complicated story of a wealthy family living on the outskirts of Shanghai. Their youngest daughter, Ruyi, is brought up as a servant to her opium-addicted father and brother. Meanwhile, her brother-in-law Zhongliang has a successful, if illegal, career seducing and blackmailing married women in the city. When he comes to Ruyi's home the two fall in love, and trouble ensues.",M_1514,-41.284775,-25.240551
Volcano,1997,"Action, Drama, Thriller",,"An earthquake shatters a peaceful Los Angeles morning and opens a fissure deep into the earth, causing lava to start bubbling up. As a volcano begins forming in the La Brea Tar Pits, the director of the city's emergency management service, working with a geologist, must then use every resource in the city to try and stop the volcano from consuming LA.",M_1515,9.599799,-2.5177715
Children of the Revolution,1996,Comedy,,"A man (Richard Roxburgh) the Australian government blames for 1990s political woes blames his mother (Judy Davis), a communist Stalin seduced in 1951.",M_1516,-7.4983025,10.415044
Austin Powers: International Man of Mystery,1997,"Action, Adventure, Comedy",,"As a swingin' fashion photographer by day and a groovy British superagent by night, Austin Powers is the '60s' most shagadelic spy, baby! But can he stop megalomaniac Dr. Evil after the bald villain freezes himself and unthaws in the '90s? With the help of sexy sidekick Vanessa Kensington, he just might.",M_1517,23.69879,14.642578
Breakdown,1997,"Action, Thriller",,"When his SUV breaks down on a remote Southwestern road, Jeff Taylor lets his wife, Amy, hitch a ride with a trucker to get help. When she doesn't return, Jeff fixes his SUV and tracks down the trucker -- who tells the police he's never seen Amy. Johnathan Mostow's tense thriller then follows Jeff's desperate search for his wife, which eventually uncovers a small town's murderous secret.",M_1518,1.256907,-15.79746
Broken English,1996,Drama,,"Ivan is the fierce patriarch of a family of Croatian refugees living in Auckland during the Yugoslav wars. Nina is his daughter, ready to live on her own, despite his angry objections. Eddie is the Maori she takes as her lover. Nina works at the restaurant where Eddie cooks. For a price, she agrees to marry another restaurant employee, a Chinese man, so that he can establish permanent residency. The money gives her the independence she needs to leave her parents' house and move in with Eddie. Complications arise when Eddie realizes the depth of her father's fury and the strength of Nina's family ties.",M_1519,-44.4559,-27.569107
Fathers' Day,1997,Comedy,,A woman cons two old boyfriends into searching for her runaway son by convincing both that they are the boy's father.,M_1526,-22.27293,-27.8335
"Fifth Element, The",1997,"Action, Adventure, Comedy, Sci-Fi",,"In 2257, a taxi driver is unintentionally given the task of saving a young girl who is part of the key that will ensure the survival of humanity.",M_1527,46.43204,5.6364856
Nowhere,1997,"Comedy, Drama",,"In Los Angeles, a colorful assortment of bohemians try to make sense of their intersecting lives. The moody Dark Smith, his bisexual girlfriend, her lesbian lover and their shy gay friend plan on attending the wildest party of the year. But they'll only make it if they can survive the drug trips, suicides, trysts, mutilations and alien abductions that occur as one surreal day unfolds.",M_1529,-34.81579,4.922081
"Promise, The (La promesse)",1996,Drama,,"East-Berlin, 1961, shortly after the erection of the Wall. Konrad, Sophie and three of their friends plan a daring escape to Western Germany. The attempt is successful, except for Konrad, who remains behind. From then on, and for the next 28 years, Konrad and Sophie will attempt to meet again, in spite of the Iron Curtain. Konrad, who has become a reputed Astrophysicist, tries to take advantage of scientific congresses outside Eastern Germany to arrange encounters with Sophie. But in a country where the political police, the Stasi, monitors the moves of all suspicious people (such as Konrad's sister Barbara and her husband Harald), preserving one's privacy, ideals and self-respect becomes an exhausting fight, even as the Eastern block begins its long process of disintegration.",M_1533,17.14847,50.612007
Shall We Dance? (Shall We Dansu?),1996,"Comedy, Drama, Romance",ballroom dance,"A bored Japanese accountant sees a beautiful woman in the window of a ballroom dance studio. He secretly starts taking dancing lessons to be near her, and then over time discovers how much he loves ballroom dancing. His wife, meanwhile, has hired a private detective to find out why he has started coming home late smelling of perfume.",M_1537,-43.959175,2.3657093
Addicted to Love,1997,"Comedy, Romance",,"Good-natured astronomer Sam is devastated when the love of his life leaves him for a suave Frenchman. He therefore does what every other normal dumpee would do — go to New York and set up home in the abandoned building opposite his ex-girlfriend's apartment, wait until she decides to leave her current lover, and then win her back.",M_1541,-48.43953,-24.02357
Brassed Off,1996,"Comedy, Drama, Romance",In Netflix queue,"A Yorkshire coal mine is threatened with closure and the only hope is for the men to enter their Grimley Colliery Brass Band into a national competition. They believe they have no hope until Gloria appears carrying her Flugelhorn. At first mocked for being a woman, she soon becomes the only chance for the band to win.",M_1542,-7.19877,16.768568
"Lost World: Jurassic Park, The",1997,"Action, Adventure, Sci-Fi, Thriller",dinosaurs,"Four years after Jurassic Park's genetically bred dinosaurs ran amok, multimillionaire John Hammond shocks chaos theorist Ian Malcolm by revealing that he has been breeding more beasties at a secret location. Malcolm, his paleontologist ladylove and a wildlife videographer join an expedition to document the lethal lizards' natural behavior in this action-packed thriller.",M_1544,43.697327,3.5429645
Ponette,1996,Drama,death,"After losing her mother in a car accident that leaves her with a broken arm, 4-year-old Ponette struggles with anguish and fear. Left by her father with a caring aunt and her children, Ponette grieves, secretly hoping her mother will somehow come back. Confused by the religious explanations provided by adults, and challenged by the cruel taunts of a few children at school, little Ponette must make her way through her emotional turmoil.",M_1545,-32.553844,-28.529951
Schizopolis,1996,Comedy,,A man works for the unpleasant guru of a Scientology-like movement.,M_1546,-13.745818,9.48227
Shiloh,1997,"Children, Drama",,"An abused beagle runs away from his owner. On the road, he meets young Marty Preston and follows him home. The boy immediately forms a bond with the dog and names him Shiloh. His stern father won't let him keep the dog because it belongs to Judd Travers, a local hunter. After Shiloh is mistreated again, he runs away and returns to Marty. Knowing his father will once again make him bring Shiloh back to Judd, he makes a home for the dog in an old shed up the hill from the Prestons' house and hides him from his family. His secret is soon discovered when a stray attacks the dog one night and he must turn to his father for help.",M_1547,11.148097,19.812973
Rough Magic,1995,"Drama, Romance",,"A sleazy politician sends an agent after his ex-fiancee, who fled to Mexico with incriminating film of him.",M_1549,15.58024,-27.700575
Trial and Error,1997,"Comedy, Romance",,"An actor poses as a lawyer to help his sick friend, and problems develop.",M_1550,-2.3678641,-0.11467696
Buddy,1997,"Adventure, Children, Drama",,An eccentric socialite raises a gorilla as her son.,M_1551,13.135844,18.321003
Con Air,1997,"Action, Adventure, Thriller",,"Newly-paroled former US Army ranger Cameron Poe is headed back to his wife, but must fly home aboard a prison transport flight dubbed ""Jailbird"" taking the “worst of the worst” prisoners, a group described as “pure predators”, to a new super-prison. Poe faces impossible odds when the transport plane is skyjacked mid-flight by the most vicious criminals in the country led by the mastermind — genius serial killer Cyrus ""The Virus"" Grissom, and backed by black militant Diamond Dog and psychopath Billy Bedlam.",M_1552,46.93234,-27.180182
"Pillow Book, The",1996,"Drama, Romance",,A woman with a body writing fetish seeks to find a combined lover and calligrapher.,M_1554,-20.192122,0.65031046
Speed 2: Cruise Control,1997,"Action, Romance, Thriller",,"A disgruntled former employee hijacks the Seabourn Legend cruise liner. Set on a fixed course, without any means of communication and at the mercy of the hijacker, it's up to the one cop on vacation, and his soon to be fiancé (hopefully) Annie, to regain control of it before it kills the passengers and causes an environmental disaster. Insurmountable and daunting tasks awaits them on their  perilous journey throughout the ship trying to fend off the hijacker and save the passengers.",M_1556,29.767128,10.4807
Batman & Robin,1997,"Action, Adventure, Fantasy, Thriller",,Batman and Robin deal with relationship issues while preventing Mr. Freeze and Poison Ivy from attacking Gotham City.,M_1562,39.978107,0.12833053
For Roseanna (Roseanna's Grave),1997,"Comedy, Drama, Romance",,"Roseanna is dying of a heart condition, and all she wants is to be buried next to her daughter, in a cemetery that is getting full fast. The cemetery can't expand because Capestro, the man who owns the land next to the cemetery, won't sell. While Marcello is doing good deeds to make sure no one dies, Roseanna thinks of Marcello's future.",M_1564,-31.707699,-11.656438
Head Above Water,1996,"Comedy, Thriller",,"Judge George brings his young wife, Nathalie, to a remote island for a vacation. But while George accompanies their only neighbor -- Nathalie's childhood friend Lance -- on a fishing trip, Nathalie spends time with her ex, Kent. When Kent ends up dead the next morning, Nathalie tries to hide the evidence before her husband gets home. After the body is found, the events of the previous night unravel, with unexpected revelations.",M_1565,-27.244965,-31.43967
Hercules,1997,"Adventure, Animation, Children, Comedy, Musical",,"Bestowed with superhuman strength, a young mortal named Hercules sets out to prove himself a hero in the eyes of his father, the great god Zeus. Along with his friends Pegasus, a flying horse, and Phil, a personal trainer, Hercules is tricked by the hilarious, hotheaded villain Hades, who's plotting to take over Mount Olympus!",M_1566,41.474483,21.332329
My Best Friend's Wedding,1997,"Comedy, Romance",romantic comedy wedding weddings,"When she receives word that her longtime platonic pal Michael O'Neal is getting married to debutante Kimberly Wallace, food critic Julianne Potter realizes her true feelings for Michael -- and sets out to sabotage the wedding.",M_1569,-30.817497,15.558675
When the Cat's Away (Chacun cherche son chat),1996,"Comedy, Romance",,"When Chloe, a young Parisian, decides to take a long-overdue vacation, she has to find someone to look after Gris-Gris, her beloved cat. Everyone, including her gay male roommate, refuses to help her, but she finally makes an arrangement with the elderly Madame Renée, who often watches over other peoples' cats and dogs. However, when Chloe comes back, Madame Renée tells her that unfortunately the cat has been lost, and the unlucky owner goes on a search for her dear animal friend. While looking for the cat, she meets many colorful characters who populate the neighborhood.",M_1571,-41.781567,19.963428
"Contempt (Mépris, Le)",1963,Drama,,"A philistine in the art film business, Jeremy Prokosch is a producer unhappy with the work of his director. Prokosch has hired Fritz Lang to direct an adaptation of ""The Odyssey,"" but when it seems that the legendary filmmaker is making a picture destined to bomb at the box office, he brings in a screenwriter to energize the script. The professional intersects with the personal when a rift develops between the writer and his wife.",M_1572,-19.011362,46.132317
Face/Off,1997,"Action, Crime, Drama, Thriller",transplants,"In order to foil a terrorist plot, an FBI agent undergoes facial transplant surgery and assumes the identity of a criminal mastermind. The plan turns sour when the criminal wakes up prematurely and seeks revenge.",M_1573,38.98701,-30.59886
Fall,1997,Romance,,"For Michael Shiver, life as an easy-going cab driver in New York suddenly changes when he picks up supermodel Sarah Easton and falls head over heels in love. But Sarah has more than just passion on her mind; she also has a husband and a glamorous lifestyle that she can't seem to leave behind. Torn between her feelings for Michael and the security of her marriage, Sarah is forced to make a realistic decision about the sacrifices that must be made to be truly and totally in love.",M_1574,-49.262753,-14.205739
Men in Black (a.k.a. MIB),1997,"Action, Comedy, Sci-Fi",aliens,"After a police chase with an otherworldly being, a New York City cop is recruited as an agent in a top-secret organization established to monitor and police alien activity on Earth: the Men in Black. Agent Kay and new recruit Agent Jay find themselves in the middle of a deadly plot by an intergalactic terrorist who has arrived on Earth to assassinate two ambassadors from opposing galaxies.",M_1580,47.716778,-34.85258
Out to Sea,1997,Comedy,,"Care-free Charlie cons his widower brother-in-law Herb into an expenses-paid luxury cruise in search of rich, lonely ladies. The catch is that they are required to be dance hosts! With a tyrannical cruise director, and the luscious Liz and lovely Vivian, our heroes have lots of mis-adventures before they finally return to port.",M_1581,-28.666656,4.130288
Wild America,1997,"Adventure, Children",,"Three brothers - Marshall, Marty and Mark dream of becoming naturalists and portraying animal life of America. One summer their dream comes true, they travel through America, filming alligators, bears and moose.",M_1582,1.8786433,34.407425
"Simple Wish, A",1997,"Children, Fantasy",,"Murray is a male fairy godmother, and he is trying to help 8-year-old Anabel to fulfil her ""simple wish"" - that her father Oliver, who is a cab driver, would win the leading role in a Broadway musical. Unfortunately, Murray's magic wand is broken and the fairies convention is threatened by evil witches Claudia and Boots.",M_1583,15.784931,28.19635
Contact,1997,"Drama, Sci-Fi",,"A radio astronomer receives the first extraterrestrial radio signal ever picked up on Earth. As the world powers scramble to decipher the message and decide upon a course of action, she must make some difficult decisions between her beliefs, the truth, and reality.",M_1584,44.261242,2.5236275
Love Serenade,1996,Comedy,,"In Sunray, a backwater town on Australia's Murray River, there's little to do but fish or listen to the local radio station. D.J. Ken Sherry arrives from the hustle of Brisbane to run the station; he's mid-40s, detached, thrice divorced, hatchet faced. But both sisters next door find him attractive: awkward Dimity, only 20, who works in a Chinese restaurant with few patrons, and perky Vicki-Ann, a hairdresser with a hope chest who invents a happy future with Sherry based on little but his arrival. First Dimity then Vicki-Ann spend the night with Ken, one concluding he's her boy friend, the other her fiance. Then Dimity begins to smell something fishy.",M_1585,-30.556461,-19.301935
G.I. Jane,1997,"Action, Drama",military,"In response to political pressure from Senator Lillian DeHaven, the U.S. Navy begins a program that would allow for the eventual integration of women into its services. The program begins with a single trial candidate, Lieutenant Jordan O'Neil, who is chosen specifically for her femininity. O'Neil enters the grueling training program under the command of Master Chief John James Urgayle, who unfairly pushes O'Neil until her determination wins his respect.",M_1586,31.850243,36.648693
Conan the Barbarian,1982,"Action, Adventure, Fantasy",,"A film adaptation of the classic sword and sorcery hero, Conan the Barbarian. A horde of rampaging warriors massacre the parents of young Conan and enslave the young child for years on The Wheel of Pain. As the sole survivor of the childhood massacre, Conan is released from slavery and taught the ancient arts of fighting. Transforming himself into a killing machine, Conan travels into the wilderness to seek vengeance on Thulsa Doom, the man responsible for killing his family. In the wilderness, Conan takes up with the thieves Valeria and Subotai. The group comes upon King Osric, who wants the trio of warriors to help rescue his daughter who has joined Doom in the hills.",M_1587,39.84071,18.32633
George of the Jungle,1997,"Children, Comedy",,"Deep in the African jungle, a baby named George, the sole survivor of a plane crash, is raised by gorillas. George grows up to be a buff and lovable klutz who has a rain forest full of animal friends: Tookie, his big-beaked toucan messenger; Ape, a witty talking gorilla; and Shep, a peanut-loving pooch of an elephant. But when poachers mess with George's pals, the King Of Swing swings into action.",M_1588,32.197216,27.561983
Cop Land,1997,"Action, Crime, Drama, Thriller",,"Freddy Heflin is the sheriff of a place everyone calls “Cop Land” — a small and seemingly peaceful town populated by the big city police officers he’s long admired. Yet something ugly is taking place behind the town’s peaceful facade. And when Freddy uncovers a massive, deadly conspiracy among these local residents, he is forced to take action and make a dangerous choice between protecting his idols and upholding the law.",M_1589,29.37175,-43.9371
Event Horizon,1997,"Horror, Sci-Fi, Thriller",,"In 2047, a group of astronauts are sent to investigate and salvage the starship Event Horizon which disappeared mysteriously 7 years before on its maiden voyage. However, it soon becomes evident that something sinister resides in its corridors, and that the horrors that befell the Event Horizon's previous journey are still present.",M_1590,42.866425,-10.591868
Spawn,1997,"Action, Adventure, Sci-Fi, Thriller",,"After being murdered by corrupt colleagues in a covert government agency, Al Simmons makes a pact with the devil to be resurrected to see his beloved wife Wanda. In exchange for his return to Earth, Simmons agrees to lead Hell's Army in the destruction of mankind.",M_1591,56.750847,-4.6819296
Air Bud,1997,"Children, Comedy",,A lonely boy befriends a stray dog who has a natural talent for basketball and together they experience the highs and lows of life as their friendship remains solid through a series of escapades.,M_1592,-51.696487,13.989515
Picture Perfect,1997,"Comedy, Romance",,"A young advertising executive's life becomes increasingly complicated when, in order to impress her boss, she pretends to be engaged to a man she has just met.",M_1593,-26.638256,-7.23715
In the Company of Men,1997,"Comedy, Drama",,"Two business executives--one an avowed misogynist, the other recently emotionally wounded by his love interest--set out to exact revenge on the female gender by seeking out the most innocent, uncorrupted girl they can find and ruining her life.",M_1594,7.9374585,-31.306215
Career Girls,1997,Drama,,"Two young women reunite and rekindle their friendship after having said goodbye at their college graduation, six years earlier.",M_1596,-52.85692,-4.9093986
Conspiracy Theory,1997,"Drama, Mystery, Romance, Thriller",,"A man obsessed with conspiracy theories becomes a target after one of his theories turns out to be true. Unfortunately, in order to save himself, he has to figure out which theory it is.",M_1597,17.641294,-27.60714
Desperate Measures,1998,"Crime, Drama, Thriller",,"San Francisco police officer Frank Connor is in a frantic search for a compatible bone marrow donor for his gravely ill son. There's only one catch the potential donor is convicted multiple murderer Peter McCabe who sees a trip to the hospital as the perfect opportunity to get what he wants most: freedom. With McCabe's escape, the entire hospital becomes a battleground and Connor must pursue and, ironically, protect the deadly fugitive who is his son's only hope for survival.",M_1598,11.366255,-41.354294
Steel,1997,Action,,"When a renegade military reject puts new superweapons in dangerous hands, John Henry Irons becomes Steel. Wearing body armor, wielding a fearsome electrohammer and riding a gadget-packed motorcycle, he's ready to wage war... if he can fix the untimely glitches in his untested gear.",M_1599,49.281033,-25.216171
She's So Lovely,1997,"Drama, Romance",,"After being released from a psychiatric institution, a man tries to redeem himself in the eyes of his now-ex wife from the events that led up to his incarceration.",M_1600,1.6552298,-35.02088
Hoodlum,1997,"Crime, Drama, Film-Noir",,"In 1934, the second most lucrative business in New York City was running 'the numbers'. When Madam Queen—the powerful woman who runs the scam in Harlem—is arrested, Ellsworth 'Bumpy' Johnson takes over the business and must resist an invasion from a merciless mobster.",M_1601,30.747408,-46.75042
